epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,501.775,1.46843,0.62917,0.97708,0.95482,0.000330383,0.000330383,0.000330383
2,1009.83,0.81113,0.70833,0.98333,0.92502,0.000641814,0.000641814,0.000641814
3,1517.77,0.67471,0.58333,0.97917,1.43201,0.000931245,0.000931245,0.000931245
4,2030.47,0.61285,0.6375,0.975,1.07471,0.000901,0.000901,0.000901
5,2570.64,0.50181,0.73958,0.99792,0.89683,0.000868,0.000868,0.000868
6,3090.65,0.46934,0.64167,0.99792,1.35528,0.000835,0.000835,0.000835
7,3602.79,0.39606,0.7,0.99583,1.24541,0.000802,0.000802,0.000802
8,4115.62,0.40737,0.6875,0.99792,1.05074,0.000769,0.000769,0.000769
9,4622.94,0.37108,0.74375,1,0.9932,0.000736,0.000736,0.000736
10,5135.95,0.29855,0.72708,1,1.02271,0.000703,0.000703,0.000703
11,5707.44,0.28823,0.76458,1,0.9694,0.00067,0.00067,0.00067
12,6234.25,0.26071,0.76042,0.98333,1.3361,0.000637,0.000637,0.000637
13,6751.02,0.25732,0.78333,0.99583,0.95914,0.000604,0.000604,0.000604
14,7262.92,0.2209,0.73958,0.97917,1.29559,0.000571,0.000571,0.000571
15,7783.58,0.17371,0.77292,0.99583,0.97415,0.000538,0.000538,0.000538
16,8381.47,0.18783,0.76875,1,1.06409,0.000505,0.000505,0.000505
17,8943.3,0.16847,0.72708,0.98542,1.25315,0.000472,0.000472,0.000472
18,9497.64,0.16888,0.775,0.99792,1.05429,0.000439,0.000439,0.000439
19,10055,0.15823,0.74583,0.99792,1.25107,0.000406,0.000406,0.000406
20,10619.5,0.16343,0.77292,1,1.16705,0.000373,0.000373,0.000373
21,11190.7,0.15462,0.80208,0.99792,1.14233,0.00034,0.00034,0.00034
22,11758.2,0.11092,0.76042,0.99792,1.06359,0.000307,0.000307,0.000307
23,12325.7,0.11889,0.76875,0.99583,1.18848,0.000274,0.000274,0.000274
24,12915.3,0.12537,0.77917,1,1.16201,0.000241,0.000241,0.000241
25,13464,0.09834,0.775,0.99583,1.23928,0.000208,0.000208,0.000208
26,14010.8,0.09136,0.79375,0.99792,1.22748,0.000175,0.000175,0.000175
27,14599.5,0.09878,0.775,0.99375,1.29762,0.000142,0.000142,0.000142
28,15166.5,0.09175,0.79583,0.99792,1.18526,0.000109,0.000109,0.000109
29,15746.5,0.07471,0.78958,0.99583,1.18163,7.6e-05,7.6e-05,7.6e-05
30,16256.6,0.0812,0.78125,0.99583,1.17904,4.3e-05,4.3e-05,4.3e-05
